invoice_id,store_id,customer_id,invoice_date,discount
3001,69,1634,7/12/2020,$0.86 
3002,73,1404,1/21/2022,$3.50 
3003,13,363,4/18/2023,$4.93 
3004,15,486,5/16/2021,$5.43 
3005,98,1025,1/23/2023,$1.95 
3006,50,1155,9/25/2022,$9.61 
3007,78,667,6/15/2021,$9.59 
3008,48,137,1/3/2022,$1.73 
3009,76,149,1/30/2022,$8.52 
3010,46,480,7/23/2021,$9.45 
3011,17,976,7/28/2020,$3.80 
3012,23,928,3/4/2023,$3.02 
3013,32,587,4/16/2021,$9.74 
3014,35,756,7/17/2022,$6.15 
3015,96,1517,9/11/2021,$8.71 
3016,24,1219,4/1/2023,$2.06 
3017,69,1553,12/24/2022,$8.72 
3018,47,1002,10/1/2022,$1.16 
3019,24,904,1/11/2022,$0.42 
3020,73,469,10/28/2022,$0.83 
3021,54,190,10/7/2020,$3.82 
3022,30,1063,4/5/2023,$2.18 
3023,61,763,2/19/2021,$7.57 
3024,49,1189,8/1/2021,$4.20 
3025,48,1536,6/19/2021,$3.81 
3026,10,957,10/26/2022,$3.02 
3027,18,601,5/6/2021,$8.83 
3028,96,1341,2/8/2021,$1.39 
3029,65,45,3/15/2023,$9.88 
3030,35,1576,6/13/2023,$2.98 
3031,65,429,6/6/2022,$9.46 
3032,33,905,6/2/2021,$0.59 
3033,67,1869,9/22/2021,$6.95 
3034,42,238,12/14/2021,$5.48 
3035,14,1415,4/28/2022,$1.90 
3036,89,130,10/7/2020,$0.74 
3037,65,904,11/30/2021,$8.14 
3038,38,1602,8/8/2022,$4.85 
3039,52,468,3/24/2021,$2.47 
3040,85,1566,2/13/2023,$2.95 
3041,98,1375,1/25/2023,$7.75 
3042,50,1717,3/11/2022,$0.92 
3043,38,306,8/25/2022,$3.10 
3044,34,231,1/4/2023,$9.31 
3045,10,948,2/20/2022,$9.77 
3046,25,1567,12/11/2021,$6.43 
3047,66,1092,9/21/2020,$9.07 
3048,22,199,10/20/2021,$5.95 
3049,74,1418,3/22/2023,$2.75 
3050,13,1731,5/20/2023,$4.75 
3051,32,1714,2/26/2021,$0.60 
3052,99,810,1/22/2022,$1.59 
3053,92,1122,6/18/2022,$8.80 
3054,76,953,7/1/2021,$6.89 
3055,90,645,12/13/2022,$4.52 
3056,30,148,11/14/2020,$8.77 
3057,29,1711,8/17/2021,$5.51 
3058,46,107,12/20/2021,$8.22 
3059,84,352,5/19/2021,$8.14 
3060,79,766,9/30/2021,$4.49 
3061,97,60,9/15/2021,$8.70 
3062,82,181,12/11/2020,$6.81 
3063,48,670,6/3/2021,$3.60 
3064,59,72,12/23/2021,$1.09 
3065,64,1040,7/3/2022,$4.52 
3066,76,1863,8/22/2022,$7.56 
3067,74,450,4/1/2022,$6.75 
3068,53,613,12/25/2022,$1.73 
3069,21,1428,3/11/2021,$4.00 
3070,79,724,5/19/2021,$5.50 
3071,43,1018,2/28/2021,$7.15 
3072,25,48,7/29/2020,$7.02 
3073,34,408,9/9/2022,$1.96 
3074,94,165,7/16/2022,$8.57 
3075,41,1199,11/26/2021,$8.13 
3076,69,873,4/6/2021,$3.80 
3077,31,1254,4/3/2022,$8.77 
3078,52,1243,5/4/2021,$7.27 
3079,29,541,4/19/2021,$1.85 
3080,12,347,9/29/2022,$2.03 
3081,13,1777,8/26/2020,$5.07 
3082,97,772,6/15/2023,$1.51 
3083,52,1592,2/26/2023,$6.87 
3084,70,2,4/2/2022,$8.61 
3085,56,1600,7/26/2020,$3.77 
3086,24,1760,2/13/2022,$4.33 
3087,92,1037,9/3/2021,$3.94 
3088,40,1383,10/18/2021,$6.17 
3089,94,89,8/15/2021,$8.67 
3090,66,903,3/31/2023,$8.73 
3091,68,1790,6/6/2022,$4.78 
3092,45,351,3/8/2021,$3.40 
3093,83,1750,7/19/2020,$1.46 
3094,55,721,1/8/2021,$3.55 
3095,54,1571,10/11/2020,$5.30 
3096,44,416,7/1/2022,$4.53 
3097,50,588,4/20/2022,$0.16 
3098,54,1021,2/5/2023,$6.60 
3099,83,119,5/1/2023,$5.55 
3100,57,256,9/5/2021,$6.25 
3101,34,567,12/16/2022,$6.33 
3102,67,1143,8/21/2022,$3.26 
3103,33,352,12/24/2022,$4.66 
3104,58,518,11/27/2021,$6.55 
3105,34,1289,1/12/2023,$2.01 
3106,86,859,7/17/2021,$5.88 
3107,26,1343,11/8/2021,$4.25 
3108,67,1130,2/25/2023,$1.88 
3109,51,596,7/7/2021,$1.58 
3110,69,627,11/12/2020,$5.85 
3111,64,922,9/5/2021,$7.87 
3112,23,1782,6/14/2022,$1.36 
3113,40,1863,7/7/2021,$9.47 
3114,37,1729,2/11/2021,$9.04 
3115,95,90,8/13/2020,$4.59 
3116,77,1642,4/28/2021,$7.43 
3117,32,1741,11/8/2020,$9.89 
3118,45,1333,2/22/2022,$1.72 
3119,39,790,2/9/2021,$2.39 
3120,81,781,4/3/2022,$3.40 
3121,63,946,5/19/2021,$9.31 
3122,27,447,3/21/2021,$1.84 
3123,65,1569,12/23/2020,$4.78 
3124,82,1233,11/30/2020,$5.40 
3125,96,1307,12/21/2021,$2.75 
3126,40,116,7/25/2020,$6.03 
3127,44,34,4/15/2023,$5.18 
3128,66,1693,11/25/2020,$3.65 
3129,16,1696,9/24/2022,$8.92 
3130,21,185,7/24/2022,$2.48 
3131,57,107,3/18/2023,$3.67 
3132,13,635,12/1/2020,$7.39 
3133,18,192,10/23/2021,$3.32 
3134,30,470,1/19/2021,$7.85 
3135,22,1189,12/17/2021,$4.29 
3136,79,2,9/18/2022,$7.37 
3137,98,169,6/29/2021,$8.80 
3138,60,1179,11/21/2020,$0.79 
3139,63,613,3/24/2023,$5.53 
3140,19,421,8/1/2021,$1.88 
3141,52,537,3/29/2023,$3.15 
3142,56,1466,7/4/2020,$7.74 
3143,46,487,1/8/2021,$6.79 
3144,43,1557,2/13/2023,$6.64 
3145,72,260,9/19/2020,$0.36 
3146,55,747,11/7/2020,$1.14 
3147,79,168,6/24/2021,$6.56 
3148,16,1815,8/29/2022,$1.92 
3149,62,1718,6/27/2021,$9.55 
3150,67,1771,8/7/2022,$4.75 
3151,65,886,3/29/2022,$8.40 
3152,45,1544,7/12/2020,$8.72 
3153,74,1017,5/11/2021,$8.91 
3154,81,1857,8/18/2022,$5.08 
3155,97,324,1/3/2022,$9.01 
3156,20,902,8/11/2021,$3.57 
3157,91,734,10/19/2020,$0.52 
3158,62,543,8/6/2020,$1.31 
3159,69,1792,1/22/2021,$2.49 
3160,29,953,9/20/2022,$6.22 
3161,46,1647,12/29/2020,$8.54 
3162,11,955,3/19/2022,$2.61 
3163,72,851,2/23/2022,$7.86 
3164,42,282,1/30/2021,$8.49 
3165,55,929,5/7/2022,$8.07 
3166,66,1241,11/12/2022,$2.90 
3167,42,1348,9/27/2021,$7.94 
3168,43,1349,8/2/2020,$5.68 
3169,87,1456,11/10/2020,$0.17 
3170,19,139,6/27/2022,$1.60 
3171,82,1830,10/31/2022,$0.94 
3172,26,1290,7/24/2021,$0.97 
3173,56,1102,8/2/2021,$7.04 
3174,70,1486,5/6/2021,$0.21 
3175,24,1131,12/19/2021,$4.23 
3176,98,952,5/30/2021,$3.69 
3177,22,474,1/16/2022,$8.63 
3178,11,848,9/28/2020,$5.94 
3179,64,1785,3/4/2023,$5.66 
3180,20,1460,4/12/2022,$0.96 
3181,37,1683,10/27/2022,$7.56 
3182,43,1535,2/19/2022,$7.04 
3183,51,862,12/11/2020,$3.94 
3184,51,1322,7/2/2020,$4.39 
3185,52,906,7/21/2020,$5.65 
3186,64,970,8/14/2020,$3.91 
3187,79,29,12/23/2021,$9.06 
3188,41,1051,10/22/2021,$0.64 
3189,26,102,10/30/2020,$3.07 
3190,79,780,2/3/2022,$2.74 
3191,62,556,6/14/2021,$0.73 
3192,86,845,6/13/2022,$4.56 
3193,36,1817,3/17/2023,$8.03 
3194,37,296,7/18/2020,$2.61 
3195,20,1742,4/14/2023,$8.76 
3196,56,1494,9/20/2022,$4.14 
3197,85,1873,3/18/2023,$0.34 
3198,34,749,6/23/2023,$0.86 
3199,42,837,5/24/2022,$6.49 
3200,14,1130,2/10/2023,$0.66 
3201,35,329,4/21/2021,$3.39 
3202,37,1563,3/11/2023,$0.76 
3203,21,165,1/13/2021,$5.56 
3204,65,1314,3/8/2022,$5.98 
3205,24,592,1/3/2021,$4.90 
3206,33,207,9/19/2022,$3.17 
3207,69,1453,6/20/2021,$3.37 
3208,17,1706,9/17/2021,$2.87 
3209,63,168,6/3/2023,$3.06 
3210,41,808,6/25/2021,$9.46 
3211,25,223,7/18/2021,$1.01 
3212,39,893,10/11/2022,$7.56 
3213,21,68,7/14/2020,$5.63 
3214,21,363,8/21/2022,$9.71 
3215,65,1485,1/22/2022,$5.60 
3216,15,782,6/15/2023,$4.13 
3217,24,720,1/23/2021,$7.32 
3218,49,788,11/2/2021,$0.01 
3219,93,636,4/14/2021,$4.90 
3220,45,1631,9/13/2020,$3.49 
3221,55,1211,1/29/2022,$6.46 
3222,21,394,3/4/2023,$3.93 
3223,16,306,3/6/2021,$0.08 
3224,62,926,11/13/2020,$0.30 
3225,75,403,9/20/2020,$3.89 
3226,95,477,2/20/2022,$4.97 
3227,46,1794,12/31/2022,$9.28 
3228,40,1637,3/6/2022,$0.55 
3229,91,1865,4/21/2022,$9.47 
3230,56,617,6/22/2022,$2.59 
3231,68,79,9/2/2021,$5.76 
3232,83,1761,8/11/2021,$6.33 
3233,54,197,5/2/2021,$3.33 
3234,46,1313,10/9/2020,$6.54 
3235,25,1156,1/31/2021,$4.04 
