invoice_id,store_id,customer_id,invoice_date,discount
4001,28,1177,9/26/2022,$7.26 
4002,65,520,6/29/2022,$6.60 
4003,16,1465,1/24/2021,$7.14 
4004,25,978,3/10/2022,$0.34 
4005,70,742,6/8/2021,$7.10 
4006,18,1773,7/3/2022,$5.93 
4007,82,938,10/14/2020,$3.00 
4008,58,1791,3/3/2021,$8.26 
4009,32,1105,2/26/2021,$2.53 
4010,28,754,3/24/2021,$4.48 
4011,40,1179,8/3/2021,$1.51 
4012,14,476,7/21/2022,$0.97 
4013,22,833,8/31/2022,$4.71 
4014,34,1006,12/17/2021,$2.16 
4015,46,1395,7/12/2020,$0.08 
4016,55,1381,2/18/2022,$8.61 
4017,20,1657,4/9/2023,$2.06 
4018,44,1207,4/18/2023,$9.32 
4019,71,746,4/2/2022,$6.79 
4020,91,1157,4/6/2021,$0.70 
4021,60,609,7/10/2022,$2.32 
4022,61,49,9/29/2022,$7.21 
4023,35,1633,8/6/2022,$5.69 
4024,21,412,1/31/2022,$0.30 
4025,30,1352,6/30/2021,$1.43 
4026,23,1575,8/26/2021,$3.51 
4027,97,1847,7/24/2020,$7.79 
4028,11,852,9/10/2022,$9.50 
4029,76,224,2/1/2023,$4.50 
4030,60,153,12/31/2022,$9.50 
4031,18,587,2/13/2021,$9.53 
4032,21,1436,4/14/2023,$7.45 
4033,64,725,3/12/2021,$6.54 
4034,34,407,8/27/2021,$7.59 
4035,33,1371,2/28/2022,$8.53 
4036,45,918,5/10/2021,$6.90 
4037,16,822,11/23/2021,$4.14 
4038,87,475,3/21/2021,$2.51 
4039,56,1429,5/5/2022,$5.29 
4040,40,876,12/9/2021,$3.25 
4041,45,393,3/11/2023,$9.79 
4042,42,1810,11/17/2022,$8.15 
4043,39,1751,9/7/2022,$5.50 
4044,54,914,8/12/2022,$3.84 
4045,11,1290,5/4/2023,$2.21 
4046,68,708,4/29/2021,$0.99 
4047,20,850,2/11/2023,$8.57 
4048,42,134,6/5/2021,$1.86 
4049,53,193,11/13/2021,$0.30 
4050,64,1374,4/22/2023,$2.51 
4051,72,514,1/4/2022,$1.87 
4052,84,1659,12/23/2020,$1.37 
4053,96,1098,2/7/2023,$0.78 
4054,56,880,8/11/2022,$6.20 
4055,26,525,4/23/2022,$6.22 
4056,36,407,12/15/2020,$0.92 
4057,88,271,1/5/2021,$5.08 
4058,19,1005,4/4/2022,$3.86 
4059,97,1132,11/22/2020,$7.07 
4060,51,1442,4/25/2022,$0.49 
4061,35,1185,10/2/2020,$9.66 
4062,83,841,6/7/2023,$5.23 
4063,92,573,6/16/2021,$4.29 
4064,27,1245,11/24/2020,$0.00 
4065,46,1281,1/30/2022,$5.94 
4066,11,1082,5/14/2021,$0.14 
4067,80,355,5/15/2021,$1.32 
4068,16,801,4/20/2022,$5.40 
4069,36,312,4/19/2023,$8.13 
4070,28,690,9/25/2020,$0.70 
4071,79,267,5/22/2023,$5.41 
4072,97,1780,3/10/2022,$9.11 
4073,39,1788,2/2/2021,$0.86 
4074,13,1055,10/7/2020,$7.29 
4075,11,72,12/31/2021,$7.66 
4076,91,1265,8/10/2021,$1.28 
4077,78,799,3/22/2023,$5.43 
4078,28,1718,6/20/2022,$0.97 
4079,14,1171,11/29/2021,$2.20 
4080,21,302,1/15/2022,$9.47 
4081,27,1330,11/4/2020,$2.58 
4082,73,976,4/28/2023,$1.03 
4083,46,171,2/3/2021,$9.55 
4084,19,123,11/14/2021,$0.63 
