invoice_item_id,invoice_id,product_id,quantity
8001,3607,979,6
8002,2402,15,8
8003,3959,258,10
8004,1364,36,7
8005,2962,795,6
8006,1764,987,8
8007,1954,142,7
8008,152,498,4
8009,4121,250,2
8010,1602,181,10
8011,2652,607,2
8012,1934,203,5
8013,1588,463,10
8014,4133,119,3
8015,922,779,6
8016,4789,230,1
8017,4813,612,10
8018,331,717,1
8019,74,491,10
8020,1065,813,6
8021,1173,679,2
8022,4719,785,9
8023,1688,712,6
8024,3803,59,9
8025,1512,959,1
8026,3506,626,5
8027,3687,693,4
8028,1151,154,3
8029,4405,729,4
8030,2403,933,5
8031,4398,212,10
8032,3497,958,4
8033,4728,299,9
8034,4984,177,5
8035,4805,980,8
8036,4891,747,1
8037,2855,43,3
8038,1337,185,4
8039,2724,920,6
8040,4722,195,9
8041,4505,127,7
8042,193,334,2
8043,728,929,8
8044,2137,288,3
8045,3311,703,1
8046,180,812,1
8047,861,493,1
8048,1191,242,8
8049,3562,641,2
8050,4445,28,3
8051,3928,793,7
8052,1955,635,2
8053,135,206,2
8054,4299,81,4
8055,2096,371,9
8056,3677,150,1
8057,3722,612,3
8058,4333,433,3
8059,2655,65,2
8060,1086,442,2
8061,1680,287,4
8062,1058,901,8
8063,3299,751,10
8064,3101,529,4
8065,4168,195,2
8066,3681,309,6
8067,583,222,10
8068,4168,538,6
8069,2083,419,7
8070,4742,850,5
8071,4065,74,2
8072,4980,800,6
8073,3630,818,9
8074,4348,942,1
8075,3605,584,7
8076,4592,241,2
8077,4877,399,5
8078,1834,603,9
8079,1476,171,4
8080,617,932,4
8081,2929,658,8
8082,118,308,5
8083,4911,338,6
8084,2666,31,5
8085,3097,916,9
8086,4456,680,6
8087,3786,672,1
8088,2061,894,6
8089,4533,783,9
8090,4656,57,1
8091,201,109,10
8092,3826,398,8
8093,1823,367,10
8094,3542,517,9
8095,4968,467,2
8096,3384,741,3
8097,640,771,6
8098,2499,154,3
8099,5,54,5
8100,377,779,2
8101,2584,143,7
8102,2170,53,7
8103,4091,340,10
8104,3364,285,5
8105,3552,471,1
8106,510,396,10
8107,2232,314,10
8108,2805,560,4
8109,4677,179,2
8110,4429,955,5
8111,4948,614,5
8112,2972,538,5
8113,3509,255,6
8114,665,508,4
8115,238,218,10
8116,3472,484,5
8117,4752,93,5
8118,756,168,8
8119,1423,424,2
8120,1740,301,1
8121,2672,667,8
8122,16,746,10
8123,2853,623,9
8124,511,811,7
8125,4436,641,7
8126,3945,842,4
8127,4504,616,10
8128,1920,597,3
8129,3335,486,1
8130,3377,525,8
8131,3493,33,10
8132,1048,477,9
8133,3918,316,6
8134,3611,170,5
8135,40,426,3
8136,621,672,4
8137,1632,245,7
8138,2581,827,1
8139,2002,942,5
8140,327,586,6
8141,4115,440,9
8142,575,50,3
8143,4765,688,4
8144,1281,825,3
8145,1488,948,5
8146,3159,905,9
8147,4915,490,4
8148,317,997,7
8149,4740,668,6
8150,1939,908,9
8151,1057,2,4
8152,4160,517,7
8153,4565,767,4
8154,4472,421,4
8155,2083,15,2
8156,1452,643,6
8157,2955,132,4
8158,539,338,6
8159,1654,184,7
8160,1057,399,7
8161,4857,896,3
8162,1739,481,2
8163,566,255,6
8164,1228,273,7
8165,4073,542,1
8166,500,951,4
8167,1393,913,2
8168,1817,685,10
8169,2424,896,1
8170,2006,377,7
8171,1248,221,10
8172,2644,65,3
8173,717,48,8
8174,1537,32,4
8175,1884,197,4
8176,904,532,5
8177,3861,314,1
8178,496,955,5
8179,4190,527,6
8180,4210,378,7
8181,2939,795,4
8182,2797,584,6
8183,3784,945,3
8184,2362,122,7
8185,2804,519,1
8186,3505,879,5
8187,1603,92,2
8188,477,888,1
8189,2277,48,9
8190,3870,232,9
8191,4978,695,4
8192,169,189,7
8193,1094,679,10
8194,2230,759,10
8195,3873,767,2
8196,776,963,5
8197,4218,998,8
8198,780,503,7
8199,3736,413,9
8200,881,435,6
8201,4506,53,4
8202,2199,892,6
8203,810,328,8
8204,2284,512,6
8205,1992,737,10
8206,196,90,10
8207,4443,174,10
8208,554,35,4
8209,4002,111,7
8210,2204,230,5
8211,3779,990,9
8212,1755,550,9
8213,3642,495,2
8214,465,786,6
8215,3663,243,4
8216,859,671,1
8217,131,88,4
8218,3806,998,4
8219,2983,14,10
8220,1360,192,2
8221,3153,732,7
8222,4832,490,5
8223,4047,178,1
8224,3360,265,3
8225,4445,453,4
8226,2862,440,3
8227,4475,566,9
8228,1575,431,3
8229,1052,112,8
8230,627,678,1
8231,1944,654,3
8232,3917,410,10
8233,1520,653,6
8234,2123,797,3
8235,2381,120,9
8236,1261,975,1
8237,3650,364,8
8238,370,581,4
8239,3923,285,7
8240,2734,993,1
8241,254,397,1
8242,2583,607,2
8243,2080,252,7
8244,4878,543,6
8245,2366,232,8
8246,2248,922,8
8247,1315,987,5
8248,2263,622,5
8249,2597,595,8
8250,3482,588,7
8251,1999,141,1
8252,3469,296,1
8253,3161,194,4
8254,2082,644,2
8255,3970,504,7
8256,2474,967,2
8257,3383,11,8
8258,4606,51,4
8259,800,113,2
8260,2947,239,7
8261,3198,427,10
8262,793,878,1
8263,195,467,2
8264,3038,868,5
8265,3036,283,9
8266,4545,316,2
8267,4473,21,9
8268,2297,586,3
8269,4625,276,7
8270,2161,407,7
8271,3507,302,4
8272,275,540,2
8273,4154,388,6
8274,2023,871,7
8275,334,748,10
8276,3391,753,5
8277,3065,908,2
8278,4288,31,3
8279,710,335,10
8280,4311,340,2
8281,3142,673,6
8282,2118,377,10
8283,1681,657,8
8284,4803,656,5
8285,214,374,7
8286,144,825,3
8287,1005,732,5
8288,738,556,10
8289,14,619,7
8290,3849,586,6
8291,3605,382,5
8292,133,324,4
8293,4730,966,6
8294,79,887,10
8295,806,773,6
8296,1876,401,9
8297,3653,399,6
8298,3066,967,9
8299,3178,287,7
8300,299,440,3
8301,3289,999,7
8302,1725,595,6
8303,2113,16,8
8304,4475,416,2
8305,3219,43,1
8306,2516,991,4
8307,542,61,3
8308,4486,410,8
8309,3067,415,10
8310,4403,796,1
8311,4444,985,5
8312,1653,356,1
8313,2413,670,5
8314,65,480,8
8315,2308,690,5
8316,913,842,3
8317,660,127,2
8318,4490,328,6
8319,185,334,3
8320,2079,299,3
8321,1897,124,9
8322,4271,496,6
8323,4074,681,5
8324,4458,168,6
8325,3733,698,2
8326,4285,799,2
8327,383,568,6
8328,1128,816,8
8329,3365,791,7
8330,3823,218,2
8331,9,408,3
8332,4325,38,5
8333,853,427,8
8334,3135,595,1
8335,1646,324,4
8336,4012,11,7
8337,4695,798,10
8338,54,430,7
8339,383,447,4
