invoice_item_id,invoice_id,product_id,quantity
14001,4338,495,4
14002,4114,642,9
14003,1271,291,9
14004,560,712,5
14005,3608,63,7
14006,3746,551,6
14007,1131,181,7
14008,2680,918,1
14009,4009,212,5
14010,2103,6,9
14011,4899,896,4
14012,1488,784,7
14013,2211,624,9
14014,987,50,4
14015,1004,804,3
14016,4885,967,3
14017,4412,264,8
14018,4124,114,2
14019,4715,728,6
14020,2930,23,6
14021,2375,328,8
14022,2620,145,6
14023,4375,411,10
14024,1953,393,4
14025,320,851,7
14026,3837,301,3
14027,2091,575,6
14028,646,782,3
14029,1493,384,4
14030,2904,901,8
14031,4052,874,2
14032,322,692,3
14033,3328,438,7
14034,1203,188,8
14035,4621,5,7
14036,1516,284,6
14037,1405,601,10
14038,2692,892,7
14039,2590,737,9
14040,2001,448,1
14041,2033,453,6
14042,4175,13,10
14043,488,931,9
14044,145,297,7
14045,2318,505,5
14046,1911,825,3
14047,1247,961,4
14048,2020,815,9
14049,1599,711,8
14050,161,880,3
14051,1056,261,1
14052,4780,982,9
14053,3956,137,7
14054,2970,178,1
14055,808,751,5
14056,3669,637,1
14057,4422,523,9
14058,4721,956,3
14059,3244,267,8
14060,4823,376,6
14061,85,486,6
14062,238,707,9
14063,3997,213,6
14064,3410,713,1
14065,3706,266,10
14066,4035,69,1
14067,4464,624,2
14068,3669,784,3
14069,2348,355,10
14070,3327,375,5
14071,966,778,9
14072,4408,915,1
14073,269,941,3
14074,3572,147,8
14075,278,340,2
14076,3191,964,9
14077,4475,568,4
14078,4774,220,1
14079,4848,35,3
14080,2747,650,4
14081,3630,771,1
14082,3448,719,9
14083,1293,590,4
14084,559,438,6
14085,629,717,9
14086,934,377,9
14087,3730,415,6
14088,1992,667,2
14089,4647,524,5
14090,2392,145,1
14091,2855,235,2
14092,1498,169,9
14093,2317,180,7
14094,3727,97,7
14095,3864,817,10
14096,2263,174,9
14097,4548,587,10
14098,2421,775,3
14099,4484,499,4
14100,3892,334,6
14101,4271,529,5
14102,2266,909,2
14103,4602,738,4
14104,1894,171,2
14105,4716,698,4
14106,1573,455,4
14107,362,482,2
14108,474,151,10
14109,1829,91,1
14110,1442,574,5
14111,1329,818,2
14112,1291,695,1
14113,1627,688,1
14114,2138,652,6
14115,2994,998,9
14116,3876,202,2
14117,1797,818,3
14118,2250,557,3
14119,4640,409,3
14120,895,190,7
14121,4869,776,5
14122,4968,870,3
14123,590,704,2
14124,633,258,10
14125,1875,666,10
14126,3494,988,7
14127,3772,143,4
14128,308,439,1
14129,3191,737,1
14130,66,299,4
14131,4940,545,9
14132,4930,216,4
14133,861,946,2
14134,478,504,4
14135,102,430,8
14136,1657,669,8
14137,633,780,5
14138,2904,189,1
14139,3345,630,3
14140,957,596,4
14141,1970,555,2
14142,4924,332,2
14143,4046,636,3
14144,3413,640,2
14145,4067,260,2
14146,3899,534,3
14147,4456,190,8
14148,2852,162,9
14149,4661,689,7
14150,2301,675,4
14151,159,38,9
14152,3752,931,7
14153,2392,585,5
14154,2373,297,1
14155,4581,826,6
14156,968,884,10
14157,2337,734,3
14158,2456,33,8
14159,2386,311,7
14160,4725,569,10
14161,4454,577,9
14162,1421,612,9
14163,1694,346,8
14164,962,534,2
14165,4622,835,2
14166,706,511,6
14167,777,290,2
14168,4331,243,5
14169,1364,849,2
14170,1391,544,10
14171,2254,384,3
14172,249,887,9
14173,4816,440,4
14174,870,88,7
14175,1236,136,7
14176,1493,698,10
14177,4051,1,4
14178,2824,542,10
14179,1129,799,8
14180,4636,42,10
14181,1450,794,8
14182,1917,554,7
14183,655,67,8
14184,745,45,9
14185,1994,397,2
14186,1278,812,9
14187,3353,678,3
14188,1072,330,5
14189,4425,243,3
14190,4744,954,3
14191,4515,302,8
14192,1677,110,5
14193,2634,430,6
14194,3325,286,10
14195,2857,312,6
14196,4713,730,6
14197,4916,837,8
14198,4248,651,1
14199,225,332,2
14200,1839,575,5
14201,547,954,2
14202,3828,684,10
14203,1908,964,5
14204,3866,132,10
14205,2436,257,5
14206,2389,78,10
14207,1071,491,6
14208,1032,649,6
14209,692,645,6
14210,1253,279,4
14211,1043,202,3
14212,3394,734,1
14213,2824,10,10
14214,2479,244,1
14215,1857,608,10
14216,3424,50,4
14217,2428,65,7
14218,1788,422,2
14219,2731,93,7
14220,3793,487,7
14221,4331,533,10
14222,3610,192,7
14223,3153,483,2
14224,1227,359,8
14225,3032,572,4
14226,4552,537,7
14227,4423,440,9
14228,424,504,1
14229,3675,190,3
14230,1033,32,8
14231,4634,262,3
14232,4403,311,5
14233,1934,830,5
14234,159,109,1
